id,name,title,gender,role
GM067,Mirna Gržanić Antić,doc. dr. sc.,F,docent
EG016,"Emanuel Guberović,",mag. ing. comp.,M,asistent
MH091,Mario Habek,izv. prof. dr. sc.,M,izvanredni profesor
ZH014,Zlatko Hanić,izv. prof. dr. sc.,M,izvanredni profesor
JH004,Juraj Havelka,prof. dr. sc.,M,redoviti profesor
HH003,Hrvoje Hegeduš,izv. prof. dr. sc.,M,izvanredni profesor
LH033,Lin Herenčić,dr. sc.,F,povjera predavanja
NH005,Nikica Hlupić,prof. dr. sc.,unknown,redoviti profesor
TH047,"Tomislav Hlupić,",mag. ing. inf. et comm. techn.,M,povjera predavanja
DH037,Daniel Hofman,izv. prof. dr. sc.,M,izvanredni profesor
NH006,Nataša Hoić Božić,prof. dr. sc. -,F,redoviti profesor
NH028,Ninoslav Holjevac,doc. dr. sc.,M,docent
HH001,Hana Horak,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
DH002,Dubravko Horvat,prof. dr. sc.,M,redoviti profesor
MH017,Marko Horvat,izv. prof. dr. sc.,M,izvanredni profesor
MH061,Marko Horvat,izv. prof. dr. sc.,M,izvanredni profesor
LH003,Lana Horvat Dmitrović,doc. dr. sc.,F,docent
SH003,Silvio Hrabar,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
ID081,Ivana Hrgović,dr. sc.,F,povjera predavanja
TH002,Tomislav Hrkać,izv. prof. dr. sc.,M,izvanredni profesor
DH011,Darko Huljenić,nasl. prof. dr. sc.,M,naslovni redoviti profesor u trajnom zvanju
LH023,Luka Humski,doc. dr. sc.,M,docent
NH025,Nikola Hure,dr. sc.,M,povjera predavanja
ŠI003,Šandor Ileš,izv. prof. dr. sc.,unknown,izvanredni profesor
DI003,Damir Ilić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
ŽI000,Željko Ilić,prof. dr. sc.,M,redoviti profesor
SI000,Saša Ilijić,izv. prof. dr. sc.,unknown,izvanredni profesor
II013,Ivana Ivančić Baće,prof. dr. sc.,F,redoviti profesor
VI035,Viktor Ivanković,dr. sc.,M,povjera predavanja
TJ028,Tomislav Jagušt,doc. dr. sc.,M,docent
DJ013,Domagoj Jakobović,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
ŽJ000,Željko Jakopović,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
KJ001,Kristian Jambrošić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
ŽJ017,Žarko Janić,nasl. izv. prof. dr. sc.,M,naslovni izvanredni profesor
RJ002,Radomir Ječmenica,dr. sc.,M,povjera predavanja
GJ030,Goran Jelen,dr. sc.,M,naslovni asistent
LJ003,Leonardo Jelenković,doc. dr. sc.,M,docent
DJ010,Dragan Jevtić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
GJ004,Gordan Ježić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
AJ023,Alan Jović,izv. prof. dr. sc.,M,izvanredni profesor
MJ006,Miloš Judaš,prof. dr. sc.,M,redoviti profesor
FJ006,"Filip Jukić,",dr.sc.,M,povjera predavanja
JJ079,"Josip Jukić,",dr.sc.,M,asistent
MJ018,Marko Jurčević,prof. dr. sc.,M,redoviti profesor
TJ001,Tanja Jurčević Lulić,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
MJ060,Marko Jurić,doc. dr. sc.,M,docent
BJ043,Bruno Jurišić,dr. sc.,M,mentor
DJ012,Dražen Jurišić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
MB489,Maja Jurišić Bellotti,dr. sc.,F,asistent
NK181,Nino Kadić,,M,viši asistent
ZK012,Zoran Kalafatić,izv. prof. dr. sc.,M,izvanredni profesor
IK003,Igor Karšaj,prof. dr. sc.,M,redoviti profesor
DK087,Darko Katović,doc. dr. sc.,M,docent
TK032,Tihomir Katulić,izv. prof. dr. sc.,M,izvanredni profesor
KK125,Kristijan Kilassa Kvaternik,dr. sc.,M,poslijedoktorand
DK307,"Dominik Kisić,",mag. ing. el. techn. inf.,M,asistent
MK316,Miho Klaić,doc. dr. sc.,M,docent
JK013,Josip Knezović,prof. dr. sc.,M,redoviti profesor
FK001,Fetah Kolonić,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
MK246,Miroslav Končar,nasl. doc. dr. sc.,M,naslovni docent
JK118,Jure Konjevod,dr. sc.,M,povjera predavanja
MK054,Marko Koričić,izv. prof. dr. sc.,M,izvanredni profesor
BK153,Blaž Korotaj,dr. sc.,M,asistent
ZK020,Zvonko Kostanjčar,prof. dr. sc.,M,redoviti profesor
IK203,Iva Kostešić,dr. sc.,F,asistent
MK045,Mario Kovač,prof. dr. sc.,M,redoviti profesor
DK139,Domagoj Kovačević,izv. prof. dr. sc.,M,izvanredni profesor
TK131,Tomislav Kovačević,dr. sc. tech.,M,povjera predavanja
MK275,Marinko Kovačić,izv. prof. dr. sc.,M,izvanredni profesor
AŠ122,Agneza Krajna,,F,asistent
IK295,"Ivan Kralj,",mag. ing. inf. et comm. techn.,M,asistent
MŽ069,Matea Kraševac,dr. sc.,unknown,povjera predavanja
MK409,Magdalena Krbot Skorić,nasl. izv. prof. dr. sc.,F,naslovni izvanredni profesor
MK222,Miljenko Krhen,doc. dr. sc.,M,docent
SK098,Severino Krizmanić,izv. prof. dr. sc.,M,izvanredni profesor
KK004,Krešimir Križanović,doc. dr. sc.,M,docent
MK494,"Marko Križmančić,",mag. ing. el. techn. inf.,M,asistent
